Value,Description
WGM5,WOC POTABLE AND RAW WATER PUMPHOUSE MODULE
WGM6,WOC INJECTED LIQUID CONTAINMENT AREA
WGM7,WOC INJECTED LIQUID FACILITY
WGM7-01,WOC WASTE FLUID INJECTION
WGM7-02,WOC WASTE FLUID INJECTION
WGM7-03,WOC WASTE FLUID INJECTION
WGM7-04,WOC WASTE FLUID INJECTION
WGM7-05,WOC WASTE FLUID INJECTION
WGM8,WOC POWER GENERATION MODULE AREA
WGM8-01,WOC POWER GENERATION MODULE AREA
WGM8-01A,WOC STANDBY DIESEL GENERATOR 1
WGM8-01B,WOC STANDBY DIESEL GENERATOR 2
WGM8-02,WOC POWER GENERATION MODULE AREA
WGM8-03,WOC POWER GENERATION MODULE AREA
WGM9,WOC REIM MODULE AREA
WGMS,WOC DRILLING SLOT WELLHEAD SHELTER
WGMX,WOC UTILITY AREA WATER STORAGE CONTAINMENT AREA
WGP1,WOC PIPEWAY
WGPT,POTABLE WATER TANK / RE-USE TANK AREA
WGR1,WOC CFWR PUMPHOUSE
WGR1-01,WOC CFWR PUMPHOUSE - 01
WGR2,WOC CFWR INTERCONNECTS
WGRT,RAW WATER TANK AREA
WGS1,WOC INTERCONNECTS
WGT1,WOC WILLOW TEMPORARY CAMP
WGT2,WOC WILLOW CONSTRUCTION CAMP
WGT3,WOC TEMPORARY POWER GENERATION AREA
WGT4,WOC TEMPORARY DRILLING CAMP #1
WGT5,WOC TEMPORARY DRILLING CAMP #2
WGV1,WOC VALVE STATION
WGV2,WOC CFWR VALVE STATION
WGXX,WOC GENERAL
WGXX-S01,WOC GENERAL STORAGE UNIT 01
WGXX-S02,WOC GENERAL STORAGE UNIT 02
WGXX-S03,WOC GENERAL STORAGE UNIT 03
WGXX-S04,WOC GENERAL STORAGE UNIT 04
WGXX-S05,WOC GENERAL STORAGE UNIT 05
WGXX-S06,WOC GENERAL STORAGE UNIT 06
WGXX-S07,WOC GENERAL STORAGE UNIT 07
WGXX-S08,WOC GENERAL STORAGE UNIT 08
WGXX-S09,WOC GENERAL STORAGE UNIT 09
WGXX-S10,WOC GENERAL STORAGE UNIT 10
WGXX-S11,WOC GENERAL STORAGE UNIT 11
WGXX-S12,WOC GENERAL STORAGE UNIT 12
WGXX-S13,WOC GENERAL STORAGE UNIT 13
WGXX-S14,WOC GENERAL STORAGE UNIT 14
WGXX-S15,WOC GENERAL STORAGE UNIT 15
WGXX-S16,WOC GENERAL STORAGE UNIT 16
WGXX-S17,WOC GENERAL STORAGE UNIT 17
WGXX-S18,WOC GENERAL STORAGE UNIT 18
WGY1,WOC TRUCK TRANSFER LOADING/UNLOADING AREA (WATER TREATMENT)
WGY2,WOC TRUCK TRANSFER UNLOADING AREA (BULK CEMENT)
WGY3,WOC TRUCK TRANSFER LOADING/UNLOADING AREA (FUEL STORAGE)
WGY4,WOC TRUCK TRANSFER LOADING AREA (WASTE INJECTION FACILITY)
WGZ1,WOC FIREWATER PUMP HOUSE
WGZ2,WOC FIREWATER RING MAIN HYDRANTS AND MONITORS
WGZT,FIREWATER TANK AREA
WL00,KUPARUK CPF2 – GENERAL
WL90,KUPARUK CPF2 – ULSD PUMP MODULE
WL91,KUPARUK CPF2 – ULSD STORAGE TANK SKID
WL92,KUPARUK CPF2 – SEAWATER TRANSFER PUMP MODULE
WP00,WILLOW PIPELINES GENERAL
WP01,WILLOW PIPELINES
