Value,Description
BT1S-71,BT1 WELLHEAD SHELTERS 71
BT1S-72,BT1 WELLHEAD SHELTERS 72
BT1S-73,BT1 WELLHEAD SHELTERS 73
BT1S-74,BT1 WELLHEAD SHELTERS 74
BT1S-75,BT1 WELLHEAD SHELTERS 75
BT1S-76,BT1 WELLHEAD SHELTERS 76
BT1S-77,BT1 WELLHEAD SHELTERS 77
BT1S-78,BT1 WELLHEAD SHELTERS 78
BT1S-79,BT1 WELLHEAD SHELTERS 79
BT1S-80,BT1 WELLHEAD SHELTERS 80
BT1V,BT1 VALVE STATION
BT1W,BT1 WASHROOMS
BT1Y,BT1 TRUCK TRANSFER LOADING AREA
BT20,BT2 MULTI MOD
BT2A,BT2 GENERAL
BT2A-IW1,BT2 INJECTOR WELL (TYP. 29)
BT2A-PW1,BT2 PRODUCER WELL (TYP. 29)
BT2A-PW2,BT2 PRODUCER WELL (TYP. 2) - SPARK GAS
BT2C,BT2C DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT2C-01,BT2 DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT2C-02,BT2 DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT2C-03,BT2 DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT2C-04,BT2 DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT2C-05,BT2 DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT2C-06,BT2 DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT2C-07,BT2 DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT2C-08,BT2 DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT2C-09,BT2 DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT2C-10,BT2 DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT2C-11,BT2 DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT2C-12,BT2 DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT2C-13,BT2 DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT2C-14,BT2 DOWNHOLE HEAT TRACING CABINETS PLATFORM
BT2C-15,BT2 DOWNHOLE HEAT TRACING CABINET PLATFORM
BT2H,BT2 TELECOM TOWER
BT2I,BT2 INTERCONNECTS
BT2M,BT2 DRILLSITE MODULE
BT2M-ST1,BT2 MANIFOLD MODULE - 2 STAIRTOWER 1
BT2M-ST2,BT2 MANIFOLD MODULE - 2 STAIRTOWER 2
BT2P,BT2 PIPERACKS
BT2P-01,BT2 PIPERACK MODULE 01
BT2P-02,BT2 PIPERACK MODULE 02
BT2P-03,BT2 PIPERACK MODULE 03
BT2P-04,BT2 PIPERACK MODULE 04
BT2P-05,BT2 PIPERACK MODULE 05
BT2P-06,BT2 PIPERACK MODULE 06
BT2P-07,BT2 PIPERACK MODULE 07
BT2P-08,BT2 PIPERACK MODULE 08
BT2S,BT2 WELLHEAD SHELTERS
BT2S-01,BT2 WELLHEAD SHELTERS 01
BT2S-02,BT2 WELLHEAD SHELTERS 02
BT2S-03,BT2 WELLHEAD SHELTERS 03
BT2S-04,BT2 WELLHEAD SHELTERS 04
BT2S-05,BT2 WELLHEAD SHELTERS 05
BT2S-06,BT2 WELLHEAD SHELTERS 06
BT2S-07,BT2 WELLHEAD SHELTERS 07
BT2S-08,BT2 WELLHEAD SHELTERS 08
BT2S-09,BT2 WELLHEAD SHELTERS 09
BT2S-10,BT2 WELLHEAD SHELTERS 10
BT2S-11,BT2 WELLHEAD SHELTERS 11
BT2S-12,BT2 WELLHEAD SHELTERS 12
BT2S-13,BT2 WELLHEAD SHELTERS 13
BT2S-14,BT2 WELLHEAD SHELTERS 14
BT2S-15,BT2 WELLHEAD SHELTERS 15
BT2S-16,BT2 WELLHEAD SHELTERS 16
BT2S-17,BT2 WELLHEAD SHELTERS 17
BT2S-18,BT2 WELLHEAD SHELTERS 18
BT2S-19,BT2 WELLHEAD SHELTERS 19
BT2S-20,BT2 WELLHEAD SHELTERS 20
BT2S-21,BT2 WELLHEAD SHELTERS 21
BT2S-22,BT2 WELLHEAD SHELTERS 22
BT2S-23,BT2 WELLHEAD SHELTERS 23
BT2S-24,BT2 WELLHEAD SHELTERS 24
BT2S-25,BT2 WELLHEAD SHELTERS 25
BT2S-26,BT2 WELLHEAD SHELTERS 26
BT2S-27,BT2 WELLHEAD SHELTERS 27
BT2S-28,BT2 WELLHEAD SHELTERS 28
BT2S-29,BT2 WELLHEAD SHELTERS 29
BT2S-30,BT2 WELLHEAD SHELTERS 30
BT2S-31,BT2 WELLHEAD SHELTERS 31
BT2S-32,BT2 WELLHEAD SHELTERS 32
BT2S-33,BT2 WELLHEAD SHELTERS 33
BT2S-34,BT2 WELLHEAD SHELTERS 34
BT2S-35,BT2 WELLHEAD SHELTERS 35
BT2S-36,BT2 WELLHEAD SHELTERS 36
BT2S-37,BT2 WELLHEAD SHELTERS 37
BT2S-38,BT2 WELLHEAD SHELTERS 38
BT2S-39,BT2 WELLHEAD SHELTERS 39
BT2S-40,BT2 WELLHEAD SHELTERS 40
BT2S-41,BT2 WELLHEAD SHELTERS 41
BT2S-42,BT2 WELLHEAD SHELTERS 42
BT2S-43,BT2 WELLHEAD SHELTERS 43
BT2S-44,BT2 WELLHEAD SHELTERS 44
BT2S-45,BT2 WELLHEAD SHELTERS 45
BT2S-46,BT2 WELLHEAD SHELTERS 46
BT2S-47,BT2 WELLHEAD SHELTERS 47
BT2S-48,BT2 WELLHEAD SHELTERS 48
